name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Melbourne,Australia",2008-07-11,12.1,5.6,8.7,12.1,2.1,6.4,4.4,74.7,1.648,100,12.5,rain,,,,35.3,275.5,1016.5,71.6,15.9,,,,,2008-07-11T07:34:19,2008-07-11T17:17:09,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-12,9.9,4.6,7.7,7.4,1.4,4.3,2.8,71.9,0,0,0,,,,,51.8,6,1019.3,84.8,17.7,,,,,2008-07-12T07:33:56,2008-07-12T17:17:48,0.29,Partially cloudy,Partly cloudy throughout the day.,wind,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-13,13.1,7.9,10.3,13.1,2.8,8.6,3.9,64.9,0.024,100,4.17,rain,,,,55.4,8.2,1015.1,76.6,17.7,,,,,2008-07-13T07:33:31,2008-07-13T17:18:27,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-14,17.1,5.5,11,17.1,3.6,10.3,5.2,70,0,0,0,,,,,35.3,7.7,1016.1,30,18.1,,,,,2008-07-14T07:33:05,2008-07-14T17:19:08,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-15,16.1,5.4,10,16.1,4.1,9.2,6.2,78.7,0,0,0,,,,,22.3,4.8,1018.5,73.5,16.7,,,,,2008-07-15T07:32:37,2008-07-15T17:19:49,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95867099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-16,14.4,4.3,9.4,14.4,2.3,8.5,6.1,80.9,0,0,0,,,,,33.5,6.2,1019.2,47.5,17.6,,,,,2008-07-16T07:32:07,2008-07-16T17:20:31,0.43,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-17,12.6,7.5,10.3,12.6,5,9.2,5.6,73.9,0,0,0,,,,,37.1,6.4,1011.2,80,19.3,,,,,2008-07-17T07:31:35,2008-07-17T17:21:14,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-18,11.7,6.2,9,11.7,3.1,7.1,5.2,77.7,3.061,100,8.33,rain,,,,40.7,318.2,1008.4,80.6,16,,,,,2008-07-18T07:31:01,2008-07-18T17:21:58,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-19,12.6,6.1,9.4,12.6,1.2,7.6,3.7,68.9,0,0,0,,,,,40.7,6,1009.8,82.6,18.2,,,,,2008-07-19T07:30:26,2008-07-19T17:22:42,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-20,12.7,7.1,10.8,12.7,3.9,10.2,5.8,72.4,9.413,100,12.5,rain,,,,38.9,9,1003.1,84.6,15.3,,,,,2008-07-20T07:29:49,2008-07-20T17:23:27,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-21,11.1,5.1,8.3,11.1,1.1,5.6,4.3,76.8,6.854,100,12.5,rain,,,,46.2,231.1,1013.1,74.1,13.6,,,,,2008-07-21T07:29:11,2008-07-21T17:24:12,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-22,11.3,4.9,7.1,11.3,0.7,4.5,4.2,82.6,2.518,100,16.67,rain,,,,25.9,253.3,1028,78.1,14.9,,,,,2008-07-22T07:28:30,2008-07-22T17:24:58,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-23,10.6,4.7,7,10.6,2.5,6.3,5.3,89.3,0.372,100,4.17,rain,,,,14,223.3,1031.8,85.6,12.9,,,,,2008-07-23T07:27:48,2008-07-23T17:25:44,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-24,14.4,1.6,7.3,14.4,-1.8,6.1,3.6,80.3,0.137,100,4.17,rain,,,,16.6,22.4,1027.9,51.3,10.8,,,,,2008-07-24T07:27:05,2008-07-24T17:26:31,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-25,14.2,-0.1,7.4,14.2,-2.6,5.6,2.9,75.2,0.164,100,4.17,rain,,,,27.7,6.1,1021.6,57.8,17.8,,,,,2008-07-25T07:26:19,2008-07-25T17:27:18,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-26,12.4,3.7,8.6,12.4,1,7.1,4.6,77.2,0.236,100,4.17,rain,,,,29.5,356.1,1014.9,69.1,18.9,,,,,2008-07-26T07:25:33,2008-07-26T17:28:06,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-27,9.3,5.1,7.3,7.6,2.9,5.5,6.2,92.6,8.39,100,16.67,rain,,,,14.8,226.1,1012.8,90,11.9,,,,,2008-07-27T07:24:44,2008-07-27T17:28:54,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-28,11.4,2,6.9,11.4,-0.2,5.5,3.9,83,0,0,0,,,,,27.7,174,1020.1,44,12.1,,,,,2008-07-28T07:23:54,2008-07-28T17:29:42,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-29,12.7,0.3,6.3,12.7,-1.9,5,2.9,80.4,0.137,100,4.17,rain,,,,13,7.5,1019.4,58.9,13.5,,,,,2008-07-29T07:23:03,2008-07-29T17:30:30,0.88,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-30,13.9,2.9,8.6,13.9,0.4,7.4,3.7,72.8,0.591,100,8.33,rain,,,,46.4,12.5,1013.1,62.1,17.9,,,,,2008-07-30T07:22:10,2008-07-30T17:31:19,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-31,15.2,5.9,10.1,15.2,2.3,8.9,4.4,68.2,0.04,100,4.17,rain,,,,46.4,1.7,1008.2,68.6,17.3,,,,,2008-07-31T07:21:15,2008-07-31T17:32:09,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-01,13.1,7.8,10,13.1,3.3,7.8,4.7,70.4,1.24,100,16.67,rain,,,,51.8,300.9,1002.7,73.4,17,,,,,2008-08-01T07:20:19,2008-08-01T17:32:58,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-02,12.4,7.1,9.5,12.4,4.1,7.9,5.8,77.8,0.826,100,4.17,rain,,,,35.3,275.3,1014.8,80.2,16.4,,,,,2008-08-02T07:19:22,2008-08-02T17:33:48,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-03,13.8,6.2,10,13.8,3.2,9,5.1,72.3,0,0,0,,,,,31.3,356.9,1016.6,80.8,17.4,,,,,2008-08-03T07:18:23,2008-08-03T17:34:38,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-04,12.3,5.1,9.7,12.3,2.2,8.7,4.5,70.4,0.19,100,8.33,rain,,,,27.7,8.5,1017.1,82.2,17,,,,,2008-08-04T07:17:23,2008-08-04T17:35:28,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-05,13.1,1.9,7.3,13.1,-1.7,6.2,4.9,85.4,0.167,100,8.33,rain,,,,20.5,229.8,1022.4,49.6,14.8,,,,,2008-08-05T07:16:21,2008-08-05T17:36:18,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-06,15.1,3.7,9.1,15.1,0.9,8.1,5.1,78.1,0.166,100,8.33,rain,,,,16.6,358.9,1018.7,84.7,14.5,,,,,2008-08-06T07:15:18,2008-08-06T17:37:08,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-07,14.1,3.7,9,14.1,1.7,7.9,4.8,76.7,2.636,100,8.33,rain,,,,17.7,278.5,1017,83.6,15.7,,,,,2008-08-07T07:14:14,2008-08-07T17:37:59,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95867099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-08,13.1,3.2,8,13.1,-0.4,6,3,72.5,1.896,100,12.5,rain,,,,25.9,334,1019.9,57.8,17.1,,,,,2008-08-08T07:13:08,2008-08-08T17:38:49,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95867099999,94865099999,95866099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-09,11.9,3,8,11.9,-0.1,6,3,71.9,0,0,0,,,,,25.9,334.8,1017.7,72.8,17.7,,,,,2008-08-09T07:12:02,2008-08-09T17:39:40,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-10,10.1,4.1,6.3,10.1,0.8,2.9,3.5,83,9.782,100,12.5,rain,,,,37.9,284.8,1013.1,90,14.7,,,,,2008-08-10T07:10:54,2008-08-10T17:40:30,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-11,12.3,5.9,8,12.3,1.5,5.5,4.3,78.6,8.286,100,16.67,rain,,,,33.5,263.7,1018.8,80.1,14.4,,,,,2008-08-11T07:09:44,2008-08-11T17:41:21,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"95874099999,94866099999,95867099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-12,12.3,5.1,8,12.3,1.1,5.8,3.8,75.4,1.334,100,8.33,rain,,,,35.3,306.7,1019.7,68.2,16.3,,,,,2008-08-12T07:08:34,2008-08-12T17:42:12,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-13,11.8,3.1,7.7,11.8,-1.1,5.2,2.9,72.8,0.082,100,4.17,rain,,,,29.5,270.6,1025.1,59.1,16.9,,,,,2008-08-13T07:07:23,2008-08-13T17:43:03,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-14,13.1,7.1,9.4,13.1,3.2,7.4,6,79.5,0.702,100,12.5,rain,,,,38.9,258.3,1022.9,84.2,15.5,,,,,2008-08-14T07:06:10,2008-08-14T17:43:53,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-15,14.1,8.1,10.3,14.1,4.9,8.7,8.1,86.6,4.101,100,12.5,rain,,,,33.5,240.1,1017.2,90.5,13.2,,,,,2008-08-15T07:04:56,2008-08-15T17:44:44,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-16,11.5,7.1,8.7,11.5,4.3,6.8,6.3,85.6,2.229,100,16.67,rain,,,,33.5,220.5,1017.8,87.3,13.3,,,,,2008-08-16T07:03:41,2008-08-16T17:45:35,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-17,10.7,6.1,8,10.7,2.3,6.2,5.1,82.5,0.218,100,8.33,rain,,,,23.3,233.1,1023.9,86.2,16.3,,,,,2008-08-17T07:02:26,2008-08-17T17:46:26,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-18,11.7,5.4,8.2,11.7,1.8,6.4,4.8,79.4,1.005,100,12.5,rain,,,,27.7,260.4,1025.7,72.8,15.2,,,,,2008-08-18T07:01:09,2008-08-18T17:47:17,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-19,14.1,5.1,9.9,14.1,1.9,8.7,3.8,67.2,0.117,100,4.17,rain,,,,31.3,342.2,1024.4,74.5,17.6,,,,,2008-08-19T06:59:51,2008-08-19T17:48:07,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-20,14.4,9.1,11.4,14.4,5.7,11.1,4.2,61.7,0.082,100,4.17,rain,,,,31.3,350.7,1019.5,81.7,16.8,,,,,2008-08-20T06:58:32,2008-08-20T17:48:58,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-21,10.9,5.1,7.8,10.9,1.4,5.6,4.4,80.2,8.168,100,8.33,rain,,,,24.1,291.8,1018.1,88.2,13.1,,,,,2008-08-21T06:57:13,2008-08-21T17:49:49,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-22,10.1,3,6.3,10.1,-0.5,3.6,2.6,78.1,2.292,100,12.5,rain,,,,31.3,202.9,1024.8,66,16.4,,,,,2008-08-22T06:55:52,2008-08-22T17:50:39,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-23,11.8,2,7.5,11.8,0.8,6.3,5,84.6,0.157,100,8.33,rain,,,,16.6,249,1028.6,88.4,16.6,,,,,2008-08-23T06:54:31,2008-08-23T17:51:30,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-24,12.5,5.1,9.5,12.5,5.1,8.6,5.3,76.7,0.292,100,8.33,rain,,,,16.6,233.6,1029.7,84.7,16.9,,,,,2008-08-24T06:53:09,2008-08-24T17:52:21,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-25,12.7,1,7.8,12.7,-1.4,6.4,3.3,75,0,0,0,,,,,20.5,0.3,1024.9,63.2,16.8,,,,,2008-08-25T06:51:46,2008-08-25T17:53:11,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-26,15.3,5.9,10.3,15.3,3,8.8,3.7,65.5,0.092,100,8.33,rain,,,,35.3,307.6,1021.4,75.4,17,,,,,2008-08-26T06:50:22,2008-08-26T17:54:01,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-27,13.1,4.1,9,13.1,0.4,8,5.2,77.8,0.131,100,4.17,rain,,,,22.3,210.2,1028.4,80.5,17.4,,,,,2008-08-27T06:48:58,2008-08-27T17:54:52,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-28,13.8,6.1,9.4,13.8,5.4,8.7,6.8,85.4,0,0,0,,,,,18.4,201.1,1027.7,80.3,14.4,,,,,2008-08-28T06:47:33,2008-08-28T17:55:42,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-29,17.4,3.1,10.5,17.4,1.3,9.6,4.8,71.8,0.11,100,4.17,rain,,,,33.5,6.9,1022.4,43.9,13.5,,,,,2008-08-29T06:46:07,2008-08-29T17:56:33,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-30,16.1,7,11.7,16.1,5.3,11.2,6.2,70,0,0,0,,,,,57.2,14.6,1011.6,80.9,17.6,,,,,2008-08-30T06:44:40,2008-08-30T17:57:23,0.97,Partially cloudy,Partly cloudy throughout the day.,wind,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-08-31,15.7,8.8,12,15.7,6.1,11.5,7.3,73.7,1.733,100,12.5,rain,,,,40.7,318.1,1007.6,84.5,17.3,,,,,2008-08-31T06:43:13,2008-08-31T17:58:13,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-09-01,16.1,6.1,10.9,16.1,2.3,9.8,4.3,65.3,0.317,100,8.33,rain,,,,34.3,342.8,1018.6,70.1,16.5,,,,,2008-09-01T06:41:46,2008-09-01T17:59:03,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-09-02,14.7,9.1,11.1,14.7,6.8,10.6,6.9,76.4,1.78,100,12.5,rain,,,,25.9,269.2,1026,86.1,14.6,,,,,2008-09-02T06:40:17,2008-09-02T17:59:54,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-09-03,13.4,5.1,9.3,13.4,2.2,8.1,3.9,70.6,0.088,100,4.17,rain,,,,25.9,170.1,1033.2,53.1,15.5,,,,,2008-09-03T06:38:49,2008-09-03T18:00:44,0.1,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-09-04,17.1,2.5,8.9,17.1,-0.3,7.8,4.2,75.3,0.161,100,4.17,rain,,,,22.3,82.6,1030.3,47.4,14.5,,,,,2008-09-04T06:37:19,2008-09-04T18:01:34,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95867099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-09-05,16.7,4.4,10.9,16.7,2.8,10,5.2,70.1,0.027,100,4.17,rain,,,,25.9,357.8,1023.8,76.2,16.7,,,,,2008-09-05T06:35:50,2008-09-05T18:02:24,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-09-06,17.3,4.4,10.9,17.3,1.3,10.1,6.9,77.9,0,0,0,,,,,18.4,320.1,1019.8,55.2,15.2,,,,,2008-09-06T06:34:19,2008-09-06T18:03:14,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-09-07,15.6,7.1,10.6,15.6,5.6,10.1,7.9,84.1,0.908,100,8.33,rain,,,,19.5,235.2,1018.8,86.3,12.4,,,,,2008-09-07T06:32:49,2008-09-07T18:04:04,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-09-08,12.4,7.1,9.3,12.4,5.3,8,4.6,73.9,0.219,100,4.17,rain,,,,29.5,184.9,1023.9,81.1,15.6,,,,,2008-09-08T06:31:18,2008-09-08T18:04:55,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-09-09,11.8,8.1,9.8,11.8,6.4,8.9,3.4,64.3,0.088,100,4.17,rain,,,,17.6,172.9,1026.3,94.9,17.9,,,,,2008-09-09T06:29:46,2008-09-09T18:05:45,0.3,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-09-10,17.2,2,9.8,17.2,-0.4,8.9,2.8,64.4,0.027,100,4.17,rain,,,,27.7,5.4,1019.8,51.6,17.1,,,,,2008-09-10T06:28:15,2008-09-10T18:06:35,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-09-11,18.4,8.7,13.5,18.4,6.8,13.3,1.7,46.1,0.049,100,4.17,rain,,,,44.3,10.7,1011.5,77,17.4,,,,,2008-09-11T06:26:42,2008-09-11T18:07:25,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
